CL = 0.0288 | alpha = 0.9712 | z_{1-alpha/2} = 0.0361032887447840
CL = 0.0289 | alpha = 0.9711 | z_{1-alpha/2} = 0.0362287021508485
CL = 0.0290 | alpha = 0.9710 | z_{1-alpha/2} = 0.0363541161267396
CL = 0.0291 | alpha = 0.9709 | z_{1-alpha/2} = 0.0364795306744350
CL = 0.0292 | alpha = 0.9708 | z_{1-alpha/2} = 0.0366049457959126
CL = 0.0293 | alpha = 0.9707 | z_{1-alpha/2} = 0.0367303614931504
CL = 0.0294 | alpha = 0.9706 | z_{1-alpha/2} = 0.0368557777681262
CL = 0.0295 | alpha = 0.9705 | z_{1-alpha/2} = 0.0369811946228181
CL = 0.0296 | alpha = 0.9704 | z_{1-alpha/2} = 0.0371066120592043
CL = 0.0297 | alpha = 0.9703 | z_{1-alpha/2} = 0.0372320300792629
CL = 0.0298 | alpha = 0.9702 | z_{1-alpha/2} = 0.0373574486849723
CL = 0.0299 | alpha = 0.9701 | z_{1-alpha/2} = 0.0374828678783104
CL = 0.0300 | alpha = 0.9700 | z_{1-alpha/2} = 0.0376082876612559
CL = 0.0301 | alpha = 0.9699 | z_{1-alpha/2} = 0.0377337080357872
CL = 0.0302 | alpha = 0.9698 | z_{1-alpha/2} = 0.0378591290038827
CL = 0.0303 | alpha = 0.9697 | z_{1-alpha/2} = 0.0379845505675209
CL = 0.0304 | alpha = 0.9696 | z_{1-alpha/2} = 0.0381099727286806
CL = 0.0305 | alpha = 0.9695 | z_{1-alpha/2} = 0.0382353954893405
CL = 0.0306 | alpha = 0.9694 | z_{1-alpha/2} = 0.0383608188514792
CL = 0.0307 | alpha = 0.9693 | z_{1-alpha/2} = 0.0384862428170756
CL = 0.0308 | alpha = 0.9692 | z_{1-alpha/2} = 0.0386116673881088
CL = 0.0309 | alpha = 0.9691 | z_{1-alpha/2} = 0.0387370925665573
CL = 0.0310 | alpha = 0.9690 | z_{1-alpha/2} = 0.0388625183544005
CL = 0.0311 | alpha = 0.9689 | z_{1-alpha/2} = 0.0389879447536173
CL = 0.0312 | alpha = 0.9688 | z_{1-alpha/2} = 0.0391133717661870
CL = 0.0313 | alpha = 0.9687 | z_{1-alpha/2} = 0.0392387993940887
CL = 0.0314 | alpha = 0.9686 | z_{1-alpha/2} = 0.0393642276393018
CL = 0.0315 | alpha = 0.9685 | z_{1-alpha/2} = 0.0394896565038056
CL = 0.0316 | alpha = 0.9684 | z_{1-alpha/2} = 0.0396150859895796
CL = 0.0317 | alpha = 0.9683 | z_{1-alpha/2} = 0.0397405160986032
CL = 0.0318 | alpha = 0.9682 | z_{1-alpha/2} = 0.0398659468328561
CL = 0.0319 | alpha = 0.9681 | z_{1-alpha/2} = 0.0399913781943178
CL = 0.0320 | alpha = 0.9680 | z_{1-alpha/2} = 0.0401168101849681
CL = 0.0321 | alpha = 0.9679 | z_{1-alpha/2} = 0.0402422428067867
CL = 0.0322 | alpha = 0.9678 | z_{1-alpha/2} = 0.0403676760617535
CL = 0.0323 | alpha = 0.9677 | z_{1-alpha/2} = 0.0404931099518484
CL = 0.0324 | alpha = 0.9676 | z_{1-alpha/2} = 0.0406185444790514
CL = 0.0325 | alpha = 0.9675 | z_{1-alpha/2} = 0.0407439796453426
